	ID_GeneontologyIDs_	Gene ontology IDs
78	GO:0002250; GO:0002407; GO:0002724; GO:0005227; GO:0005261; GO:0005272; GO:0005509; GO:0005516; GO:0005524; GO:0005654; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005887; GO:0007204; GO:0008284; GO:0010460; GO:0016925; GO:0019722; GO:0030502; GO:0034706; GO:0035774; GO:0042310; GO:0042802; GO:0043025; GO:0044214; GO:0045600; GO:0045668; GO:0045907; GO:0051289; GO:0070588; GO:0071318; GO:0086045; GO:0086047; GO:0086048; GO:0086091; GO:0089717; GO:0090263; GO:0098655; GO:0098662; GO:0098719; GO:0098911; GO:0099604; GO:1903949; GO:1904179; GO:1904199	78
79	GO:0005262; GO:0005886; GO:0005887; GO:0005901; GO:0006816; GO:0006828; GO:0008013; GO:0009986; GO:0014051; GO:0015279; GO:0016323; GO:0030863; GO:0034703; GO:0034704; GO:0045296; GO:0048709; GO:0051480; GO:0070509; GO:0070588; GO:0070679	79
80	GO:0005262; GO:0005635; GO:0005801; GO:0005886; GO:0005887; GO:0006828; GO:0007338; GO:0015279; GO:0034703; GO:0048471; GO:0051480; GO:0070588; GO:0070679	80
81	GO:0004850; GO:0005654; GO:0005829; GO:0006139; GO:0006218; GO:0006248; GO:0006249; GO:0009032; GO:0042149; GO:0042802; GO:0044206; GO:0046050; GO:0046074; GO:0046079; GO:0047847	81
82	GO:0000281; GO:0005739; GO:0005743; GO:0005813; GO:0030496; GO:0034551; GO:0070469	82
83	GO:0000149; GO:0005484; GO:0006886; GO:0006906; GO:0012505; GO:0016021; GO:0031201; GO:0048278	83
84	GO:0003723; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005794; GO:0016740; GO:0018105; GO:0030424; GO:0030496; GO:0031175; GO:0032839; GO:0043021; GO:0045948; GO:0046777; GO:0046825; GO:0051726; GO:0071598; GO:0106310; GO:0106311	84
85	GO:0000154; GO:0000455; GO:0005829; GO:0016740; GO:0030490; GO:1904047	85
86	GO:0004849; GO:0005524; GO:0005737; GO:0005829; GO:0042802; GO:0044206; GO:0044211	86
87	GO:0005789; GO:0016021	87
88	GO:0005198; GO:0005887; GO:0009617; GO:0016021; GO:0030855; GO:0070062; GO:0120001	88
89	GO:0000209; GO:0001967; GO:0005524; GO:0005634; GO:0005829; GO:0007566; GO:0007617; GO:0009566; GO:0030175; GO:0061458; GO:0061631; GO:0070459	89
90	GO:0004843; GO:0005634; GO:0006511; GO:0016579	90
91	GO:0005739; GO:0005743; GO:0008284; GO:0009409; GO:0010917; GO:0016021; GO:0031966; GO:0035356; GO:0043025; GO:0043066; GO:0045177; GO:0046324; GO:0048839; GO:0051562; GO:0070997	91
92	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579	92
93	GO:0000244; GO:0004843; GO:0005634; GO:0005737; GO:0005764; GO:0005829; GO:0005886; GO:0006511; GO:0016579; GO:0031397; GO:0031647; GO:0031685; GO:0034394; GO:0042802; GO:0046872	93
94	GO:0001917; GO:0003407; GO:0004843; GO:0005634; GO:0005654; GO:0005737; GO:0006281; GO:0006511; GO:0008270; GO:0016477; GO:0016579; GO:0045494; GO:0070911	94
95	GO:0001992; GO:0002125; GO:0003084; GO:0004930; GO:0005000; GO:0005080; GO:0005768; GO:0005886; GO:0005887; GO:0006091; GO:0007186; GO:0007202; GO:0007204; GO:0007621; GO:0007625; GO:0008015; GO:0008284; GO:0010460; GO:0014049; GO:0014902; GO:0017046; GO:0019722; GO:0021537; GO:0030139; GO:0030307; GO:0031394; GO:0031894; GO:0032849; GO:0035176; GO:0035815; GO:0042277; GO:0042631; GO:0042711; GO:0042713; GO:0043084; GO:0045907; GO:0051412; GO:0051970; GO:0150104	95
